Name Alt Az
BLOCK-387_001  57.16 -165.48
BLOCK-387_002  45.23 -163.29
BLOCK-387_003  74.31 -150.38
BLOCK-387_004  45.23 -148.48
BLOCK-387_005  60.50 -146.15
BLOCK-387_006  45.38 -135.48
BLOCK-387_007  61.12 -126.23
BLOCK-387_008  45.44 -122.79
BLOCK-387_009  74.65 -110.95
BLOCK-387_010  45.52 -110.02
BLOCK-387_011  55.21 -108.13
BLOCK-387_012  64.96 -107.66
BLOCK-387_013  45.63  -96.90
BLOCK-387_014  60.19  -89.47
BLOCK-387_015  45.64  -83.17
BLOCK-387_016  74.68  -76.74
BLOCK-387_017  45.49  -68.47
BLOCK-387_018  61.33  -68.31
BLOCK-387_019  45.40  -51.67
BLOCK-387_020  60.59  -44.75
BLOCK-387_021  74.23  -33.58
BLOCK-387_022  55.02  -29.78
BLOCK-387_023  45.19  -29.70
BLOCK-387_024  48.71  -15.35
BLOCK-387_025  49.89    0.51
BLOCK-387_026  58.78    0.63
BLOCK-387_027  67.67    0.85
BLOCK-387_028  48.56   16.31
BLOCK-387_029  44.92   30.53
BLOCK-387_030  54.74   30.82
BLOCK-387_031  73.92   35.53
BLOCK-387_032  60.20   45.79
BLOCK-387_033  44.97   52.37
BLOCK-387_034  44.98   69.04
BLOCK-387_035  60.82   69.04
BLOCK-387_036  74.15   77.54
BLOCK-387_037  45.09   83.59
BLOCK-387_038  59.64   89.84
BLOCK-387_039  45.08   97.19
BLOCK-387_040  64.44  107.67
BLOCK-387_041  54.69  108.24
BLOCK-387_042  45.01  110.19
BLOCK-387_043  74.14  110.62
BLOCK-387_044  44.98  122.85
BLOCK-387_045  60.67  126.01
BLOCK-387_046  45.00  135.45
BLOCK-387_047  60.20  145.72
BLOCK-387_048  44.95  148.37
BLOCK-387_049  74.04  149.07
BLOCK-387_050  45.07  163.13
BLOCK-387_051  57.02  165.02
BLOCK-387_052  67.88  179.51
BLOCK-387_053  50.10  179.85
