Survey Name RA Dec
BLOCK-306 Photo0800-1_001 08:09:44.61 -36:12:34.00
BLOCK-306 Photo0800-1_002 08:09:49.01 -36:12:34.00
BLOCK-306 Photo0800-1_003 08:09:53.40 -36:12:34.00
BLOCK-306 Photo0800-1_004 08:09:57.80 -36:12:34.00
BLOCK-306 Photo0800-1_005 08:10:02.20 -36:12:34.00
BLOCK-306 Photo0800-1_006 08:10:06.60 -36:12:34.00
BLOCK-306 Photo0800-1_007 08:10:10.99 -36:12:34.00
BLOCK-306 Photo0800-1_008 08:10:15.39 -36:12:34.00
BLOCK-306 Photo0800-1_009 08:09:44.61 -36:10:12.00
BLOCK-306 Photo0800-1_010 08:09:49.01 -36:10:12.00
BLOCK-306 Photo0800-1_011 08:09:53.40 -36:10:12.00
BLOCK-306 Photo0800-1_012 08:09:57.80 -36:10:12.00
BLOCK-306 Photo0800-1_013 08:10:02.20 -36:10:12.00
BLOCK-306 Photo0800-1_014 08:10:06.60 -36:10:12.00
BLOCK-306 Photo0800-1_015 08:10:10.99 -36:10:12.00
BLOCK-306 Photo0800-1_016 08:10:15.39 -36:10:12.00
