Survey          Name        RA              Dec
STAR_TRACKER_POLE LMC_0082 05:49:05.45455 -74:36:13.83965
STAR_TRACKER_POLE LMC_0083 06:03:38.18182 -74:36:13.83965
STAR_TRACKER ORION_SF_0001 05:40:00.00000 +00:00:00.00000
STAR_TRACKER ORION_SF_0002 05:48:00.00000 +00:00:00.00000
STAR_TRACKER ORION_SF_0003 05:28:00.00000 +00:00:00.00000
STAR_TRACKER ORION_SF_0004 05:52:00.00000 +00:00:00.00000
STAR_TRACKER ORION_SF_0005 05:44:00.00000 +00:00:00.00000
STAR_TRACKER ORION_SF_0006 05:24:00.00000 +00:00:00.00000
STAR_TRACKER ORION_SF_0007 05:36:00.00000 +00:00:00.00000
STAR_TRACKER ORION_SF_0008 05:56:00.00000 +00:00:00.00000
STAR_TRACKER ORION_SF_0009 05:32:00.00000 +00:00:00.00000
STAR_TRACKER ORION_SF_0010 05:20:00.00000 +00:00:00.00000
STAR_TRACKER ORION_SF_0011 05:36:00.00000 +00:59:59.00014
STAR_TRACKER ORION_SF_0012 05:48:00.00000 +00:59:59.00014
STAR_TRACKER ORION_SF_0013 05:20:00.00000 +00:59:59.00014
STAR_TRACKER ORION_SF_0014 05:24:00.00000 +00:59:59.00014
STAR_TRACKER ORION_SF_0015 05:32:00.00000 +00:59:59.00014
STAR_TRACKER ORION_SF_0016 05:44:00.00000 +00:59:59.00014
STAR_TRACKER ORION_SF_0017 05:52:00.00000 +00:59:59.00014
STAR_TRACKER ORION_SF_0018 05:56:00.00000 +00:59:59.00014
STAR_TRACKER ORION_SF_0019 05:40:00.00000 +00:59:59.00014
STAR_TRACKER ORION_SF_0020 05:28:00.00000 +00:59:59.00014
STAR_TRACKER ORION_SF_0021 05:44:00.00000 -00:59:59.00014
STAR_TRACKER ORION_SF_0022 05:40:00.00000 -00:59:59.00014
STAR_TRACKER ORION_SF_0023 05:48:00.00000 -00:59:59.00014
STAR_TRACKER ORION_SF_0024 05:32:00.00000 -00:59:59.00014
STAR_TRACKER ORION_SF_0025 05:28:00.00000 -00:59:59.00014
STAR_TRACKER ORION_SF_0026 05:24:00.00000 -00:59:59.00014
STAR_TRACKER ORION_SF_0027 05:52:00.00000 -00:59:59.00014
STAR_TRACKER ORION_SF_0028 05:20:00.00000 -00:59:59.00014
STAR_TRACKER ORION_SF_0029 05:36:00.00000 -00:59:59.00014
STAR_TRACKER ORION_SF_0030 05:56:00.00000 -00:59:59.00014
STAR_TRACKER ORION_SF_0031 05:32:00.00000 -01:59:56.00235
STAR_TRACKER ORION_SF_0032 05:44:00.00000 -01:59:56.00235
STAR_TRACKER ORION_SF_0033 05:36:00.00000 -01:59:56.00235
STAR_TRACKER ORION_SF_0034 05:40:00.00000 -01:59:56.00235
STAR_TRACKER ORION_SF_0035 05:28:00.00000 -01:59:56.00235
STAR_TRACKER ORION_SF_0036 05:52:00.00000 -01:59:56.00235
STAR_TRACKER ORION_SF_0037 05:48:00.00000 -01:59:56.00235
STAR_TRACKER ORION_SF_0038 05:56:00.00000 -01:59:56.00235
STAR_TRACKER ORION_SF_0039 05:24:00.00000 -01:59:56.00235
STAR_TRACKER ORION_SF_0040 05:20:00.00000 -01:59:56.00235
STAR_TRACKER ORION_SF_0041 05:28:00.00000 -02:59:51.01136
STAR_TRACKER ORION_SF_0042 05:32:00.00000 -02:59:51.01136
STAR_TRACKER ORION_SF_0043 05:48:00.00000 -02:59:51.01136
STAR_TRACKER ORION_SF_0044 05:24:00.00000 -02:59:51.01136
STAR_TRACKER ORION_SF_0045 05:44:00.00000 -02:59:51.01136
STAR_TRACKER ORION_SF_0046 05:52:00.00000 -02:59:51.01136
STAR_TRACKER ORION_SF_0047 05:40:00.00000 -02:59:51.01136
STAR_TRACKER ORION_SF_0048 05:20:00.00000 -02:59:51.01136
STAR_TRACKER ORION_SF_0049 05:36:00.00000 -02:59:51.01136
STAR_TRACKER ORION_SF_0050 05:56:00.00000 -02:59:51.01136
STAR_TRACKER ORION_SF_0051 05:44:00.00000 -03:59:44.03435
STAR_TRACKER ORION_SF_0052 05:40:00.00000 -03:59:44.03435
STAR_TRACKER ORION_SF_0053 05:48:00.00000 -03:59:44.03435
STAR_TRACKER ORION_SF_0054 05:52:00.00000 -03:59:44.03435
STAR_TRACKER ORION_SF_0055 05:36:00.00000 -03:59:44.03435
STAR_TRACKER ORION_SF_0056 05:56:00.00000 -03:59:44.03435
STAR_TRACKER ORION_SF_0057 05:24:00.00000 -03:59:44.03435
STAR_TRACKER ORION_SF_0058 05:28:00.00000 -03:59:44.03435
STAR_TRACKER ORION_SF_0059 05:20:00.00000 -03:59:44.03435
STAR_TRACKER ORION_SF_0060 05:32:00.00000 -03:59:44.03435
STAR_TRACKER ORION_SF_0061 05:16:52.81337 -04:59:35.08087
STAR_TRACKER ORION_SF_0062 05:48:58.16156 -04:59:35.08087
STAR_TRACKER ORION_SF_0063 05:28:54.81894 -04:59:35.08087
STAR_TRACKER ORION_SF_0064 05:20:53.48189 -04:59:35.08087
STAR_TRACKER ORION_SF_0065 05:44:57.49304 -04:59:35.08087
STAR_TRACKER ORION_SF_0066 05:32:55.48747 -04:59:35.08087
STAR_TRACKER ORION_SF_0067 05:52:58.83008 -04:59:35.08087
STAR_TRACKER ORION_SF_0068 05:40:56.82451 -04:59:35.08087
STAR_TRACKER ORION_SF_0069 05:36:56.15599 -04:59:35.08087
STAR_TRACKER ORION_SF_0070 05:24:54.15042 -04:59:35.08087
STAR_TRACKER ORION_SF_0071 05:52:58.83008 -05:59:24.10196
STAR_TRACKER ORION_SF_0072 05:48:58.16156 -05:59:24.10196
STAR_TRACKER ORION_SF_0073 05:44:57.49304 -05:59:24.10196
STAR_TRACKER ORION_SF_0074 05:40:56.82451 -05:59:24.10196
STAR_TRACKER ORION_SF_0075 05:20:53.48189 -05:59:24.10196
STAR_TRACKER ORION_SF_0076 05:28:54.81894 -05:59:24.10196
STAR_TRACKER ORION_SF_0077 05:16:52.81337 -05:59:24.10196
